src/components/profile/projects.tsx(1062,14): error TS17008: JSX element 'Form' has no corresponding closing tag.
src/components/profile/projects.tsx(2167,13): error TS17002: Expected corresponding JSX closing tag for 'DialogContent'.
src/components/profile/projects.tsx(2168,11): error TS17002: Expected corresponding JSX closing tag for 'Dialog'.
src/components/profile/projects.tsx(2169,7): error TS1005: ')' expected.
src/components/profile/projects.tsx(2169,9): error TS17002: Expected corresponding JSX closing tag for 'div'.
src/components/profile/projects.tsx(2171,7): error TS1005: ')' expected.
src/components/profile/projects.tsx(2603,5): error TS1128: Declaration or statement expected.
src/components/profile/projects.tsx(2604,3): error TS1109: Expression expected.
src/pages/admin/content.tsx(771,21): error TS1005: ')' expected.
src/pages/radar.tsx(834,5): error TS1005: ')' expected.
src/pages/radar.tsx(835,3): error TS1109: Expression expected.
src/pages/radar.tsx(836,1): error TS1128: Declaration or statement expected.
src/pages/search-backup.tsx(376,13): error TS17002: Expected corresponding JSX closing tag for 'CardContent'.
src/pages/search-backup.tsx(377,11): error TS17002: Expected corresponding JSX closing tag for 'Card'.
src/pages/search-backup.tsx(378,7): error TS1005: ')' expected.
src/pages/search-backup.tsx(379,5): error TS1109: Expression expected.
src/pages/search-backup.tsx(380,3): error TS1128: Declaration or statement expected.
src/pages/search-backup.tsx(985,17): error TS1005: ')' expected.
src/pages/search-backup.tsx(985,19): error TS17002: Expected corresponding JSX closing tag for 'NeoGlassSection'.
src/pages/search-backup.tsx(986,17): error TS17002: Expected corresponding JSX closing tag for 'TabsContent'.
src/pages/search-backup.tsx(987,15): error TS17002: Expected corresponding JSX closing tag for 'Tabs'.
src/pages/search-backup.tsx(988,13): error TS17002: Expected corresponding JSX closing tag for 'NeoGlassLayout'.
src/pages/search-backup.tsx(989,11): error TS17002: Expected corresponding JSX closing tag for 'div'.
src/pages/search-backup.tsx(991,5): error TS1005: ')' expected.
src/pages/search-backup.tsx(992,3): error TS1109: Expression expected.
src/pages/search-backup.tsx(993,1): error TS1128: Declaration or statement expected.
../server/routes-broken.ts(1882,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,7): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,18): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,28): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,33): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,70): error TS1005: ';' expected.
../server/routes-broken.ts(1882,82): error TS1005: ';' expected.
../server/routes-broken.ts(1882,180): error TS1005: ';' expected.
../server/routes-broken.ts(1882,182): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,184): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,198): error TS1435: Unknown keyword or identifier. Did you mean 'break down'?
../server/routes-broken.ts(1882,208): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1882,211): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1884,1): error TS1127: Invalid character.
../server/routes-broken.ts(1884,2): error TS1127: Invalid character.
../server/routes-broken.ts(1884,4): error TS1127: Invalid character.
../server/routes-broken.ts(1884,7): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1884,12): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1884,31): error TS1005: ';' expected.
../server/routes-broken.ts(1886,3): error TS1109: Expression expected.
../server/routes-broken.ts(1886,12): error TS1005: ';' expected.
../server/routes-broken.ts(1886,25): error TS1109: Expression expected.
../server/routes-broken.ts(1886,39): error TS1005: ';' expected.
../server/routes-broken.ts(1886,51): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1886,55): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1887,3): error TS1109: Expression expected.
../server/routes-broken.ts(1887,18): error TS1005: ';' expected.
../server/routes-broken.ts(1887,27): error TS1109: Expression expected.
../server/routes-broken.ts(1887,40): error TS1005: ';' expected.
../server/routes-broken.ts(1887,69): error TS1005: ';' expected.
../server/routes-broken.ts(1888,3): error TS1109: Expression expected.
../server/routes-broken.ts(1888,16): error TS1005: ';' expected.
../server/routes-broken.ts(1888,35): error TS1005: ';' expected.
../server/routes-broken.ts(1888,46): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1888,50): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1888,63): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1888,74): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1889,3): error TS1109: Expression expected.
../server/routes-broken.ts(1889,13): error TS1005: ';' expected.
../server/routes-broken.ts(1889,35): error TS1109: Expression expected.
../server/routes-broken.ts(1889,47): error TS1005: ';' expected.
../server/routes-broken.ts(1889,59): error TS1434: Unexpected keyword or identifier.
